isolate,rep,sample,mg
200488,1,WS,152.2
200488,1,WR,38.5
200488,1,DS,10.4
200488,1,DR,3.4
200488,2,WS,182.4
200488,2,WR,40.2
200488,2,DS,13.6
200488,2,DR,2.6
200488,3,WS,323.6
200488,3,WR,42.9
200488,3,DS,24
200488,3,DR,2.9
201859,1,WS,350.6
201859,1,WR,36.4
201859,1,DS,23.1
201859,1,DR,4.3
201859,2,WS,499.5
201859,2,WR,70.4
201859,2,DS,32.3
201859,2,DR,3.8
201859,3,WS,317.5
201859,3,WR,57.4
201859,3,DS,22.3
201859,3,DR,3.6
201813,1,WS,NA
201813,1,WR,NA
201813,1,DS,NA
201813,1,DR,NA
201813,2,WS,NA
201813,2,WR,NA
201813,2,DS,NA
201813,2,DR,NA
201813,3,WS,NA
201813,3,WR,NA
201813,3,DS,NA
201813,3,DR,NA
201880,1,WS,NA
201880,1,WR,NA
201880,1,DS,NA
201880,1,DR,NA
201880,2,WS,NA
201880,2,WR,NA
201880,2,DS,NA
201880,2,DR,NA
201880,3,WS,NA
201880,3,WR,NA
201880,3,DS,NA
201880,3,DR,NA
201236,1,WS,302.7
201236,1,WR,49.4
201236,1,DS,19.3
201236,1,DR,1.1
201236,2,WS,438.1
201236,2,WR,26.9
201236,2,DS,26.2
201236,2,DR,1.9
201236,3,WS,320.4
201236,3,WR,53.9
201236,3,DS,19.4
201236,3,DR,4.4
201860,1,WS,NA
201860,1,WR,NA
201860,1,DS,NA
201860,1,DR,NA
201860,2,WS,NA
201860,2,WR,NA
201860,2,DS,NA
201860,2,DR,NA
201860,3,WS,NA
201860,3,WR,NA
201860,3,DS,NA
201860,3,DR,NA
201835,1,WS,574.9
201835,1,WR,67.5
201835,1,DS,33.3
201835,1,DR,5.6
201835,2,WS,642.8
201835,2,WR,69.6
201835,2,DS,30.4
201835,2,DR,5.6
201835,3,WS,525.4
201835,3,WR,71.2
201835,3,DS,28.3
201835,3,DR,4.5
201085,1,WS,NA
201085,1,WR,NA
201085,1,DS,NA
201085,1,DR,NA
201085,2,WS,238.3
201085,2,WR,72
201085,2,DS,20.9
201085,2,DR,4.9
201085,3,WS,NA
201085,3,WR,NA
201085,3,DS,NA
201085,3,DR,NA
201885,1,WS,629
201885,1,WR,130
201885,1,DS,38.4
201885,1,DR,6
201885,2,WS,287.4
201885,2,WR,134.7
201885,2,DS,19.6
201885,2,DR,7.8
201885,3,WS,262.2
201885,3,WR,69.8
201885,3,DS,19.5
201885,3,DR,4.8
201887,1,WS,NA
201887,1,WR,NA
201887,1,DS,NA
201887,1,DR,NA
201887,2,WS,452.1
201887,2,WR,63.4
201887,2,DS,28.1
201887,2,DR,4.7
201887,3,WS,NA
201887,3,WR,NA
201887,3,DS,NA
201887,3,DR,NA
201875,1,WS,404.6
201875,1,WR,56.6
201875,1,DS,24.7
201875,1,DR,4.3
201875,2,WS,379.9
201875,2,WR,51
201875,2,DS,27.7
201875,2,DR,4.3
201875,3,WS,442.5
201875,3,WR,32.8
201875,3,DS,27
201875,3,DR,2.9
201990,1,WS,NA
201990,1,WR,NA
201990,1,DS,NA
201990,1,DR,NA
201990,2,WS,NA
201990,2,WR,NA
201990,2,DS,NA
201990,2,DR,NA
201990,3,WS,NA
201990,3,WR,NA
201990,3,DS,NA
201990,3,DR,NA
200726,1,WS,369.4
200726,1,WR,34.8
200726,1,DS,23.1
200726,1,DR,3.9
200726,2,WS,364.9
200726,2,WR,64.2
200726,2,DS,20.4
200726,2,DR,4.3
200726,3,WS,298.7
200726,3,WR,22.3
200726,3,DS,22.2
200726,3,DR,2.4
201025,1,WS,441.9
201025,1,WR,61.1
201025,1,DS,24.4
201025,1,DR,3.3
201025,2,WS,328.4
201025,2,WR,74.5
201025,2,DS,21.6
201025,2,DR,4.3
201025,3,WS,515.6
201025,3,WR,74.8
201025,3,DS,31.6
201025,3,DR,5.1
201874,1,WS,NA
201874,1,WR,NA
201874,1,DS,NA
201874,1,DR,NA
201874,2,WS,NA
201874,2,WR,NA
201874,2,DS,NA
201874,2,DR,NA
201874,3,WS,NA
201874,3,WR,NA
201874,3,DS,NA
201874,3,DR,NA
201880,1,WS,NA
201880,1,WR,NA
201880,1,DS,NA
201880,1,DR,NA
201880,2,WS,NA
201880,2,WR,NA
201880,2,DS,NA
201880,2,DR,NA
201880,3,WS,NA
201880,3,WR,NA
201880,3,DS,NA
201880,3,DR,NA
201836,1,WS,378.9
201836,1,WR,62.5
201836,1,DS,22.3
201836,1,DR,3.7
201836,2,WS,662.5
201836,2,WR,10.1
201836,2,DS,37.4
201836,2,DR,3.2
201836,3,WS,404.2
201836,3,WR,72.1
201836,3,DS,22.1
201836,3,DR,3.8
201879,1,WS,395
201879,1,WR,44.9
201879,1,DS,21.9
201879,1,DR,4
201879,2,WS,330.4
201879,2,WR,55
201879,2,DS,19.4
201879,2,DR,4.4
201879,3,WS,457.4
201879,3,WR,41.7
201879,3,DS,26.3
201879,3,DR,4.7
201870,1,WS,NA
201870,1,WR,NA
201870,1,DS,NA
201870,1,DR,NA
201870,2,WS,256.8
201870,2,WR,133.3
201870,2,DS,16.3
201870,2,DR,6.9
201870,3,WS,124.2
201870,3,WR,73.2
201870,3,DS,7
201870,3,DR,5.5
201933,1,WS,NA
201933,1,WR,NA
201933,1,DS,NA
201933,1,DR,NA
201933,2,WS,141.2
201933,2,WR,15
201933,2,DS,9.2
201933,2,DR,1.6
201933,3,WS,NA
201933,3,WR,NA
201933,3,DS,NA
201933,3,DR,NA
201936,1,WS,405.8
201936,1,WR,66
201936,1,DS,28.6
201936,1,DR,5
201936,2,WS,400.2
201936,2,WR,97.1
201936,2,DS,33.9
201936,2,DR,7.1
201936,3,WS,380.7
201936,3,WR,128.6
201936,3,DS,31.5
201936,3,DR,7.1
201840,1,WS,NA
201840,1,WR,NA
201840,1,DS,NA
201840,1,DR,NA
201840,2,WS,NA
201840,2,WR,NA
201840,2,DS,NA
201840,2,DR,NA
201840,3,WS,NA
201840,3,WR,NA
201840,3,DS,NA
201840,3,DR,NA
200659,1,WS,256.5
200659,1,WR,76.4
200659,1,DS,21.5
200659,1,DR,3
