isolate,rep,sample,mg
201152,1,WS,287.2
201152,1,WR,43.7
201152,1,DS,23.8
201152,1,DR,3.5
201152,1,IW,48003.8
201152,1,FW,47635.9
201152,2,WS,246.2
201152,2,WR,19.4
201152,2,DS,18.9
201152,2,DR,1.2
201152,2,IW,47785.9
201152,2,FW,47436.4
201152,3,WS,320.2
201152,3,WR,49.4
201152,3,DS,24.1
201152,3,DR,3.8
201152,3,IW,48310.6
201152,3,FW,48018.4
201083,1,WS,343.7
201083,1,WR,38.2
201083,1,DS,28.0
201083,1,DR,2.9
201083,1,IW,48496.6
201083,1,FW,48151.6
201083,2,WS,224.8
201083,2,WR,55.9
201083,2,DS,18.1
201083,2,DR,4.6
201083,2,IW,48983.2
201083,2,FW,48708.4
201083,3,WS,269.8
201083,3,WR,74.3
201083,3,DS,22.3
201083,3,DR,5.2
201083,3,IW,49285.6
201083,3,FW,48991.6
201849,1,WS,337.6
201849,1,WR,78.8
201849,1,DS,25.7
201849,1,DR,5.9
201849,1,IW,48427.4
201849,1,FW,48069.5
201849,2,WS,383.8
201849,2,WR,71.1
201849,2,DS,27.9
201849,2,DR,5.8
201849,2,IW,49059.4
201849,2,FW,48722.2
201849,3,WS,1198.8
201849,3,WR,209.9
201849,3,DS,74.8
201849,3,DR,15.6
201849,3,IW,49405.5
201849,3,FW,48983.2
200883,1,WS,533.9
200883,1,WR,72.9
200883,1,DS,37.2
200883,1,DR,5.9
200883,1,IW,48322.4
200883,1,FW,47961.1
200883,2,WS,289.1
200883,2,WR,60.0
200883,2,DS,21.8
200883,2,DR,5.1
200883,2,IW,48485.2
200883,2,FW,48114.8
200883,3,WS,409.2
200883,3,WR,109.3
200883,3,DS,29.0
200883,3,DR,7.6
200883,3,IW,48572.2
200883,3,FW,48199.8
200561,1,WS,269.6
200561,1,WR,51.3
200561,1,DS,20.0
200561,1,DR,4.5
200561,1,IW,47620.0
200561,1,FW,47253.1
200561,2,WS,88.5
200561,2,WR,14.1
200561,2,DS,8.2
200561,2,DR,2.0
200561,2,IW,48136.3
200561,2,FW,47857.8
200561,3,WS,149.3
200561,3,WR,62.4
200561,3,DS,10.8
200561,3,DR,5.0
200561,3,IW,47522.2
200561,3,FW,47168.7
201098,1,WS,369.5
201098,1,WR,130.2
201098,1,DS,30.2
201098,1,DR,10.6
201098,1,IW,48183.2
201098,1,FW,47781.3
201098,2,WS,182.1
201098,2,WR,46.4
201098,2,DS,13.6
201098,2,DR,2.8
201098,2,IW,48854.9
201098,2,FW,48607.1
201098,3,WS,195.3
201098,3,WR,36.4
201098,3,DS,19.2
201098,3,DR,3.0
201098,3,IW,48254.7
201098,3,FW,47933.4
201896,1,WS,478.5
201896,1,WR,84.5
201896,1,DS,26.2
201896,1,DR,4.7
201896,1,IW,48406.1
201896,1,FW,47970.8
201896,2,WS,596.0
201896,2,WR,86.1
201896,2,DS,37.6
201896,2,DR,6.0
201896,2,IW,48552.6
201896,2,FW,48191.8
201896,3,WS,287.3
201896,3,WR,80.0
201896,3,DS,18.0
201896,3,DR,6.0
201896,3,IW,48829.5
201896,3,FW,48545.6
200634,1,WS,267.3
200634,1,WR,42.9
200634,1,DS,18.0
200634,1,DR,3.7
200634,1,IW,47653.4
200634,1,FW,47310.5
200634,2,WS,393.7
200634,2,WR,65.3
200634,2,DS,28.0
200634,2,DR,4.9
200634,2,IW,47549.1
200634,2,FW,47242.1
200634,3,WS,237.9
200634,3,WR,24.8
200634,3,DS,18.9
200634,3,DR,1.6
200634,3,IW,47698.5
200634,3,FW,47360.7
201175,1,WS,632.3
201175,1,WR,161.5
201175,1,DS,34.2
201175,1,DR,10.3
201175,1,IW,48987.7
201175,1,FW,48741.9
201175,2,WS,444.3
201175,2,WR,100.8
201175,2,DS,23.9
201175,2,DR,5.6
201175,2,IW,48004.6
201175,2,FW,47645.8
201175,3,WS,221.1
201175,3,WR,15.2
201175,3,DS,14.4
201175,3,DR,1.2
201175,3,IW,48333.7
201175,3,FW,48026.4
201079,1,WS,529.3
201079,1,WR,67.0
201079,1,DS,37.7
201079,1,DR,5.0
201079,1,IW,48711.5
201079,1,FW,48426.4
201079,2,WS,98.7
201079,2,WR,26.2
201079,2,DS,7.0
201079,2,DR,2.1
201079,2,IW,49351.5
201079,2,FW,49119.9
201079,3,WS,376.3
201079,3,WR,85.6
201079,3,DS,32.9
201079,3,DR,6.9
201079,3,IW,48751.5
201079,3,FW,48428.7
200547,1,WS,291.1
200547,1,WR,46.6
200547,1,DS,19.2
200547,1,DR,3.5
200547,1,IW,47957.7
200547,1,FW,47621.3
200547,2,WS,437.5
200547,2,WR,105.6
200547,2,DS,29.1
200547,2,DR,7.6
200547,2,IW,48822.4
200547,2,FW,48476.1
200547,3,WS,693.3
200547,3,WR,182.9
200547,3,DS,38.1
200547,3,DR,11.4
200547,3,IW,49799.4
200547,3,FW,49496.4
200460,1,WS,270.3
200460,1,WR,77.2
200460,1,DS,20.2
200460,1,DR,5.3
200460,1,IW,48371.5
200460,1,FW,48068.2
200460,2,WS,249.0
200460,2,WR,56.9
200460,2,DS,21.6
200460,2,DR,4.0
200460,2,IW,48252.0
200460,2,FW,47877.7
200460,3,WS,132.5
200460,3,WR,13.8
200460,3,DS,11.1
200460,3,DR,0.5
200460,3,IW,48115.5
200460,3,FW,47790.9
200473,1,WS,272.6
200473,1,WR,37.0
200473,1,DS,20.8
200473,1,DR,3.7
200473,1,IW,49629.7
200473,1,FW,49309.1
200473,2,WS,490.9
200473,2,WR,62.1
200473,2,DS,37.1
200473,2,DR,5.2
200473,2,IW,48148.8
200473,2,FW,48168.4
200473,3,WS,320.2
