"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200270 - control_W",1.54999999999999,1.83794033944468,81,-4.43636230382328,7.53636230382327,0.84333531765689,0.997654969916537
"2","200275 - control_W",3.13333333333333,1.59170302459928,81,-2.05100849803515,8.31767516470182,1.96854142067246,0.629384254494385
"3","200444 - control_W",-1.39999999999999,2.43136653137213,81,-9.31921295692402,6.51921295692403,-0.575807876737495,0.999891454864875
"4","200488 - control_W",-1.83333333333332,1.59170302459929,81,-7.01767516470182,3.35100849803519,-1.15180615039345,0.977839002018362
"5","200496 - control_W",-0.266666666666656,1.59170302459929,81,-5.45100849803515,4.91767516470184,-0.167535440057224,0.999999997814042
"6","200533 - control_W",4.65000000000001,1.83794033944468,81,-1.33636230382327,10.6363623038233,2.53000595297069,0.272883407082891
"7","200556 - control_W",0.366666666666667,1.59170302459929,81,-4.81767516470182,5.55100849803516,0.230361230078692,0.999999962541032
"8","200659 - control_W",-2.16666666666665,1.59170302459929,81,-7.35100849803514,3.01767516470184,-1.36122545046499,0.9367013497536
"9","200661 - control_W",-0.0999999999999917,1.59170302459929,81,-5.28434183136848,5.0843418313685,-0.0628257900214563,1
"10","200715 - control_W",-2.30000000000002,2.43136653137214,81,-10.2192129569241,5.61921295692403,-0.945970083211607,0.994439817485801
"11","200725 - control_W",0.1,1.83794033944468,81,-5.88636230382327,6.08636230382327,0.0544087301714127,1
"12","200726 - control_W",-1.26666666666667,1.59170302459929,81,-6.45100849803516,3.91767516470183,-0.795793340271845,0.99850337317576
"13","200727 - control_W",1.7,1.83794033944468,81,-4.28636230382328,7.68636230382327,0.924948412914011,0.9952904201514
"14","200808 - control_W",0.333333333333336,1.59170302459929,81,-4.85100849803515,5.51767516470182,0.20941930007154,0.999999983967438
"15","200902 - control_W",0.333333333333329,1.59170302459929,81,-4.85100849803516,5.51767516470182,0.209419300071535,0.999999983967438
"16","200939 - control_W",-0.166666666666662,1.59170302459929,81,-5.35100849803515,5.01767516470183,-0.104709650035766,0.999999999967681
