"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200270 - control_W",11.2166666666666,5.80244201464636,82,-7.6759795537321,30.1093128870654,1.93309414180337,0.653153866206344
"2","200275 - control_W",5.88333333333334,5.02506218866991,82,-10.478178238244,22.2448449049107,1.17079811402107,0.975327770052475
"3","200444 - control_W",7.01666666666662,7.67590928381344,82,-17.9759550868831,32.0092884202163,0.914115371512142,0.99569143679642
"4","200488 - control_W",0.816666666666647,5.02506218866991,82,-15.5448449049107,17.178178238244,0.162518718376859,0.999999998338219
"5","200496 - control_W",3.81666666666668,5.02506218866991,82,-12.5448449049107,20.1781782382441,0.759526255271464,0.998964289250131
"6","200533 - control_W",-2.08333333333329,5.80244201464636,82,-20.975979553732,16.8093128870654,-0.359044231389922,0.999998117881562
"7","200556 - control_W",-3.15,5.02506218866991,82,-19.5115115715774,13.2115115715774,-0.626857913739327,0.999780671391039
"8","200659 - control_W",6.31666666666666,5.0250621886699,82,-10.0448449049107,22.678178238244,1.25703253601696,0.961023741807809
"9","200661 - control_W",12.2166666666667,5.02506218866991,82,-4.14484490491069,28.578178238244,2.43114735857634,0.326588232758822
"10","200715 - control_W",-6.08333333333326,7.67590928381343,82,-31.075955086883,18.9092884202164,-0.792522828033088,0.998552998692423
"11","200725 - control_W",-9.73333333333324,5.80244201464635,82,-28.625979553732,9.15931288706547,-1.67745464905373,0.808780356529715
"12","200726 - control_W",6.71666666666665,5.02506218866992,82,-9.64484490491075,23.078178238244,1.33663354093623,0.943223406457096
"13","200727 - control_W",21.0833333333334,5.02506218866991,82,4.72182176175598,37.4448449049107,4.19563630095371,0.00263731756847829
"14","200808 - control_W",-0.916666666666648,5.0250621886699,82,-17.278178238244,15.4448449049107,-0.182418969606679,0.999999995332235
"15","200902 - control_W",3.95,5.02506218866991,82,-12.4115115715774,20.3115115715774,0.786059923577887,0.998642820108163
"16","200939 - control_W",8.15,5.02506218866991,82,-8.21151157157737,24.5115115715774,1.62187047523033,0.837193718680724
"17","201025 - control_W",10.6833333333333,5.02506218866991,82,-5.67817823824402,27.0448449049107,2.12601017305243,0.52172337032515
"18","201045 - control_W",9.98333333333334,5.02506218866991,82,-6.37817823824403,26.3448449049107,1.98670841444369,0.617057853524904
"19","201084 - control_W",-9.9833333333333,5.02506218866991,82,-26.3448449049107,6.37817823824406,-1.98670841444369,0.61705785352491
"20","201085 - control_W",5.71666666666665,7.67590928381344,82,-19.2759550868831,30.7092884202164,0.744754328809182,0.999113640927263
"21","201153 - control_W",15.1166666666667,5.02506218866991,82,-1.24484490491071,31.478178238244,3.00825464424111,0.0954072551790059
"22","201162 - control_W",4.84999999999998,5.02506218866991,82,-11.5115115715774,21.2115115715774,0.965162184646263,0.993566934204437
"23","201173 - control_W",-0.783333333333305,5.0250621886699,82,-17.1448449049107,15.5781782382441,-0.155885301300251,0.999999998855533
"24","201236 - control_W",6.45000000000002,5.02506218866991,82,-9.91151157157735,22.8115115715774,1.28356620432339,0.955611692839473
"25","201245 - control_W",11.35,5.02506218866991,82,-5.01151157157737,27.7115115715774,2.25867851458456,0.432797018536242
"26","201823 - control_W",0.283333333333351,5.0250621886699,82,-16.078178238244,16.6448449049107,0.05638404515116,1
"27","201835 - control_W",15.4833333333333,5.02506218866991,82,-0.878178238244104,31.8448449049107,3.08122223208377,0.0793975713369872
"28","201836 - control_W",12.0833333333333,5.02506218866991,82,-4.27817823824405,28.4448449049107,2.40461369026991,0.341995639773709
"29","201851 - control_W",10.75,5.02506218866991,82,-5.61151157157737,27.1115115715774,2.13927700720564,0.512670900536237
"30","201858 - control_W",0.016666666666648,5.02506218866991,82,-16.3448449049107,16.378178238244,0.0033167085382996,1
"31","201859 - control_W",10.7166666666666,5.02506218866992,82,-5.64484490491077,27.0781782382441,2.13264359012903,0.517194403848758
"32","201870 - control_W",-3.53333333333331,5.80244201464636,82,-22.425979553732,15.3593128870654,-0.608939016437316,0.999827415119409
"33","201875 - control_W",11.2833333333333,5.02506218866991,82,-5.07817823824406,27.6448449049107,2.24541168043135,0.441480407549208
"34","201876 - control_W",8.61666666666667,5.02506218866991,82,-7.74484490491071,24.978178238244,1.71473831430282,0.788450212664185
"35","201879 - control_W",7.35,5.0250621886699,82,-9.01151157157734,23.7115115715773,1.46266846539177,0.90477907527728
"36","201885 - control_W",10.65,5.02506218866989,82,-5.71151157157731,27.0115115715773,2.11937675597583,0.526257233088465
"37","201887 - control_W",12.9166666666667,7.67590928381341,82,-12.075955086883,37.9092884202163,1.68275394993329,0.805950953529558
"38","201888 - control_W",-1.14999999999999,5.02506218866991,82,-17.5115115715774,15.2115115715774,-0.228852889142928,0.999999964743542
"39","201889 - control_W",10.45,5.02506218866991,82,-5.91151157157737,26.8115115715774,2.07957625351618,0.553530966026922
"40","201895 - control_W",1.01666666666666,7.67590928381344,82,-23.9759550868831,26.0092884202164,0.132449020575394,0.999999999734109
"41","201910 - control_W",-1.35,5.02506218866991,82,-17.7115115715774,15.0115115715774,-0.268653391602569,0.999999853639562
"42","201917 - control_W",9.55000000000001,5.02506218866991,82,-6.81151157157737,25.9115115715774,1.90047399244781,0.674732331496504
"43","201933 - control_W",-5.98333333333332,7.67590928381344,82,-30.9759550868831,19.0092884202164,-0.779495055517483,0.998729234843656
"44","201936 - control_W",16.15,5.02506218866992,82,-0.211511571577379,32.5115115715774,3.21389057361592,0.0560481293679777
"45","control-WO - control_W",1.98333333333334,4.10294609599817,82,-11.375784923669,15.3424515903357,0.483392490890336,0.999975319803319
