"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200270 - control_W",30.6166666666668,24.7899954618794,80,-50.3148773946288,111.548210727962,1.23504123725022,0.966532039787617
"2","200275 - control_W",73.1166666666666,21.4687658296885,80,3.02789354208508,143.205439791248,3.40572286486799,0.0337087802373934
"3","200444 - control_W",-28.5833333333332,32.7940814972763,80,-135.64570273666,78.479036069994,-0.871600362879723,0.99718886945768
"4","200488 - control_W",-20.2499999999997,21.4687658296885,80,-90.3387731245815,49.838773124582,-0.943230745569761,0.994891270757969
"5","200496 - control_W",0.68333333333354,21.4687658296885,80,-69.4054397912481,70.7721064579151,0.0318291856529815,1
"6","200533 - control_W",93.016666666667,24.7899954618794,80,12.0851226053713,173.948210727963,3.75218570772643,0.0118852611090567
"7","200556 - control_W",95.8500000000002,21.4687658296885,80,25.7612268754186,165.938773124582,4.46462552903028,0.0010578879033103
"8","200659 - control_W",-20.6499999999997,21.4687658296885,80,-90.7387731245813,49.4387731245818,-0.961862464000772,0.994093446108251
"9","200661 - control_W",-24.6499999999998,21.4687658296885,80,-94.7387731245815,45.4387731245818,-1.14817964831086,0.97930209235646
"10","200715 - control_W",-57.0833333333337,32.7940814972764,80,-164.145702736661,49.9790360699938,-1.74065961682978,0.778159828191678
"11","200725 - control_W",-0.133333333333287,24.7899954618794,80,-81.0648773946289,80.7982107279623,-0.00537851382580198,1
"12","200726 - control_W",-20.3499999999999,21.4687658296885,80,-90.4387731245816,49.7387731245817,-0.947888675177525,0.994700531033749
"13","200727 - control_W",-20.9499999999999,21.4687658296885,80,-91.0387731245815,49.1387731245816,-0.975836252824038,0.993431425971718
"14","200808 - control_W",-10.1499999999998,21.4687658296885,80,-80.2387731245814,59.9387731245818,-0.472779855186818,0.9999820059428
"15","200902 - control_W",34.65,21.4687658296885,80,-35.4387731245816,104.738773124582,1.61397260908606,0.844757308148586
"16","200939 - control_W",2.34999999999986,21.4687658296885,80,-67.7387731245818,72.4387731245815,0.109461345782165,0.999999999963559
"17","201025 - control_W",9.34999999999999,21.4687658296885,80,-60.7387731245817,79.4387731245816,0.435516418324809,0.999991187563162
"18","201045 - control_W",17.3500000000001,21.4687658296885,80,-52.7387731245815,87.4387731245817,0.808150786944973,0.998437419468484
"19","201084 - control_W",-39.6833333333334,21.4687658296885,80,-109.772106457915,30.4054397912482,-1.84842173267625,0.713205176017492
"20","201085 - control_W",11.2166666666666,32.7940814972763,80,-95.8457027366607,118.279036069994,0.342033261934723,0.999998950030963
"21","201153 - control_W",0.616666666666664,24.7899954618794,80,-80.3148773946289,81.5482107279623,0.0248756264443428,1
"22","201162 - control_W",-3.71666666666658,21.4687658296885,80,-73.8054397912482,66.372106457915,-0.173119717088111,0.999999997673481
"23","201173 - control_W",-39.5166666666667,21.4687658296885,80,-109.605439791248,30.5721064579149,-1.84065851666332,0.71809398146759
"24","201236 - control_W",-17.3833333333336,21.4687658296885,80,-87.4721064579153,52.7054397912482,-0.809703430147562,0.998413668344849
"25","201245 - control_W",-44.1333333333332,24.7899954618794,80,-125.064877394629,36.7982107279624,-1.78028807634107,0.755049032479798
"26","201823 - control_W",-42.8166666666667,21.4687658296885,80,-112.905439791248,27.2721064579149,-1.99437019371914,0.617039978459659
"27","201835 - control_W",8.65000000000022,21.4687658296885,80,-61.4387731245815,78.7387731245819,0.402910911070556,0.999995541213544
"28","201836 - control_W",-12.5500000000001,21.4687658296885,80,-82.6387731245818,57.5387731245816,-0.584570165772878,0.99988938997649
"29","201851 - control_W",54.2166666666667,21.4687658296885,80,-15.8721064579149,124.305439791248,2.52537416900287,0.279150100242803
"30","201856 - control_W",24.1166666666666,32.7940814972763,80,-82.9457027366606,131.179036069994,0.735396924248957,0.999262997325679
"31","201858 - control_W",-23.2833333333333,21.4687658296885,80,-93.3721064579149,46.8054397912483,-1.08452127700492,0.986005280404663
"32","201859 - control_W",-6.05000000000028,21.4687658296886,80,-76.1387731245822,64.0387731245816,-0.281804741269007,0.999999813080753
"33","201870 - control_W",42.4666666666666,24.7899954618794,80,-38.4648773946289,123.398210727962,1.71305665351853,0.793656962905223
"34","201875 - control_W",-13.9833333333333,21.4687658296885,80,-84.0721064579149,56.1054397912483,-0.651333823483985,0.999726827008577
"35","201876 - control_W",-5.78333333333315,21.4687658296885,80,-75.8721064579147,64.3054397912484,-0.269383595648314,0.999999875147174
"36","201879 - control_W",-13.5833333333332,21.4687658296885,80,-83.6721064579148,56.5054397912483,-0.632702105052973,0.999785319812775
"37","201885 - control_W",50.7166666666667,21.4687658296885,80,-19.3721064579149,120.805439791248,2.36234663273155,0.372007604936125
"38","201887 - control_W",2.61666666666667,32.7940814972764,80,-104.445702736661,109.679036069994,0.0797908203919048,0.999999999998022
"39","201888 - control_W",-14.55,21.4687658296885,80,-84.6387731245816,55.5387731245816,-0.677728757927912,0.999620923627001
"40","201889 - control_W",-3.85000000000004,21.4687658296885,80,-73.9387731245817,66.2387731245816,-0.179330289898453,0.999999996800263
"41","201895 - control_W",23.2166666666667,32.7940814972763,80,-83.8457027366606,130.279036069994,0.707952947808431,0.999458427805108
"42","201910 - control_W",-20.35,21.4687658296885,80,-90.4387731245816,49.7387731245816,-0.947888675177527,0.994700531033749
"43","201917 - control_W",26.7833333333333,21.4687658296885,80,-43.3054397912483,96.872106457915,1.24754881327624,0.964301184574555
"44","201933 - control_W",-45.7833333333335,32.7940814972764,80,-152.845702736661,61.279036069994,-1.39608524596537,0.929063323360476
"45","201936 - control_W",36.45,21.4687658296885,80,-33.6387731245816,106.538773124582,1.6978153420256,0.801989597976456
"46","control-WO - control_W",8.90000000000001,17.5291738966786,80,-48.32724361764,66.12724361764,0.507725010457358,0.999966705231825
