"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200270 - control_W",186.883333333334,95.7728624343126,82,-125.566372590589,499.333039257258,1.95131823966848,0.646052769417671
"2","200275 - control_W",58.2500000000004,82.941731861267,82,-212.339382735095,328.839382735095,0.702300261796228,0.999494429202118
"3","200444 - control_W",56.783333333333,126.695588174996,82,-356.54877621165,470.115442878316,0.448187140146524,0.999988731526657
"4","200488 - control_W",-64.1166666666664,82.9417318612672,82,-334.706049401762,206.472716068429,-0.773032648678128,0.998904152529846
"5","200496 - control_W",-10.6500000000005,82.9417318612671,82,-281.239382735096,259.939382735095,-0.128403395504379,0.999999999845467
"6","200533 - control_W",-112.666666666666,95.7728624343126,82,-425.116372590589,199.783039257258,-1.17639447963603,0.975696874833543
"7","200556 - control_W",58.7833333333329,82.9417318612671,82,-211.806049401762,329.372716068428,0.708730478785481,0.99945546668134
"8","200659 - control_W",43.2499999999999,82.941731861267,82,-227.339382735095,313.839382735095,0.52145040897316,0.999958306583731
"9","200661 - control_W",101.016666666666,82.9417318612672,82,-169.572716068429,371.606049401762,1.21792328662286,0.969473160876211
"10","200715 - control_W",-135.116666666669,126.695588174996,82,-548.448776211654,278.215442878316,-1.06646702235631,0.987586782447134
"11","200725 - control_W",-146.366666666668,95.7728624343128,82,-458.816372590592,166.083039257256,-1.52826868641475,0.882787854074821
"12","200726 - control_W",60.816666666666,82.9417318612673,82,-209.77271606843,331.406049401762,0.733245681057048,0.999282659117879
"13","200727 - control_W",247.216666666666,82.9417318612672,82,-23.3727160684289,517.806049401762,2.98060651880497,0.103801636821567
"14","200808 - control_W",-44.6499999999998,82.9417318612672,82,-315.239382735095,225.939382735096,-0.538329728569978,0.999945248620922
"15","200902 - control_W",12.0499999999996,82.9417318612672,82,-258.539382735096,282.639382735095,0.145282715101187,0.999999999526371
"16","200939 - control_W",111.55,82.9417318612671,82,-159.039382735096,382.139382735095,1.34492007216083,0.943197770638368
"17","201025 - control_W",145.116666666667,82.941731861267,82,-125.472716068428,415.706049401762,1.74962185392267,0.773090656479016
"18","201045 - control_W",95.2166666666666,82.9417318612671,82,-175.372716068429,365.806049401762,1.14799467686461,0.979367144016569
"19","201084 - control_W",-262.016666666667,82.9417318612672,82,-532.606049401763,8.57271606842795,-3.15904504025706,0.0659888762344932
"20","201085 - control_W",-45.2166666666672,126.695588174995,82,-458.54877621165,368.115442878315,-0.356892195837259,0.999998476145892
"21","201153 - control_W",176.983333333333,82.9417318612671,82,-93.606049401762,447.572716068428,2.13382731903121,0.521443322554168
"22","201162 - control_W",49.7833333333336,82.9417318612671,82,-220.806049401761,320.372716068429,0.600220567091653,0.999862361803674
"23","201173 - control_W",-61.3833333333334,82.9417318612671,82,-331.972716068428,209.206049401762,-0.740077786608152,0.999226956670316
"24","201236 - control_W",70.2166666666666,82.9417318612669,82,-200.372716068428,340.806049401761,0.846578255492845,0.997761272584419
"25","201245 - control_W",143.416666666667,82.9417318612671,82,-127.172716068429,414.006049401762,1.72912553726938,0.784775202469744
"26","201823 - control_W",-63.0833333333335,82.9417318612671,82,-333.672716068429,207.506049401762,-0.760574103261434,0.999037430604531
"27","201835 - control_W",297.516666666668,82.941731861267,82,26.9272839315733,568.106049401763,3.58705635860499,0.0195902852507062
"28","201836 - control_W",198.35,82.941731861267,82,-72.2393827350951,468.939382735095,2.39143788716362,0.354054102597348
"29","201851 - control_W",19.6833333333333,82.9417318612671,82,-250.906049401762,290.272716068429,0.23731519576004,0.999999960154599
"30","201856 - control_W",-258.816666666667,126.695588174996,82,-672.148776211651,154.515442878317,-2.04282304060329,0.583884063003391
"31","201858 - control_W",55.3499999999999,82.9417318612671,82,-215.239382735095,325.939382735095,0.667335956917096,0.999667381466669
"32","201859 - control_W",105.683333333333,82.9417318612669,82,-164.906049401761,376.272716068428,1.27418768527893,0.959259216432894
"33","201870 - control_W",-93.0166666666676,95.7728624343127,82,-405.466372590592,219.433039257256,-0.971221537107805,0.993673135341823
"34","201875 - control_W",125.483333333334,82.941731861267,82,-145.106049401761,396.072716068429,1.51290949100537,0.888935799860205
"35","201876 - control_W",127.483333333333,82.9417318612671,82,-143.106049401762,398.072716068428,1.53702280471511,0.87919440675803
"36","201879 - control_W",110.75,82.9417318612672,82,-159.839382735096,381.339382735095,1.33527474667693,0.945611866904199
"37","201885 - control_W",109.349999999999,82.9417318612672,82,-161.239382735096,379.939382735094,1.31839542708011,0.949663133312214
"38","201887 - control_W",168.583333333333,126.695588174997,82,-244.748776211653,581.915442878319,1.33061723586207,0.946751653729016
"39","201888 - control_W",-46.3500000000002,82.9417318612671,82,-316.939382735095,224.239382735095,-0.558826045223262,0.999924740094327
"40","201889 - control_W",75.8833333333332,82.9417318612671,82,-194.706049401762,346.472716068428,0.914899311003776,0.995946566277933
"41","201895 - control_W",-4.21666666666638,126.695588174996,82,-417.54877621165,409.115442878317,-0.0332818745104384,1
"42","201910 - control_W",-35.6500000000003,82.9417318612671,82,-306.239382735096,234.939382735095,-0.429819816876147,0.999992177417308
"43","201917 - control_W",55.7833333333332,82.9417318612671,82,-214.806049401762,326.372716068428,0.672560508220873,0.999645317314792
"44","201933 - control_W",-142.316666666667,126.695588174996,82,-555.648776211651,271.015442878317,-1.12329615195515,0.982201888268995
"45","201936 - control_W",112.05,82.9417318612672,82,-158.539382735096,382.639382735095,1.35094840058827,0.941651904012395
"46","control-WO - control_W",20.1499999999999,67.7216404809488,82,-200.785305838549,241.085305838549,0.297541522279993,0.999999697567077
