"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200470 - control",-72.8166666666663,71.3062336298539,72,-300.574160926086,154.940827592753,-1.02118234213089,0.981922283222493
"2","200487 - control",60.4166666666677,71.3062336298539,72,-167.340827592752,288.174160926087,0.847284502225805,0.994579619040672
"3","200552 - control",-41.716666666666,71.3062336298539,72,-269.474160926085,186.040827592753,-0.585035340433413,0.999597498665137
"4","200565 - control",-121.316666666666,71.3062336298538,72,-349.074160926086,106.440827592753,-1.70134728046938,0.744025563200702
"5","200570 - control",-46.5166666666669,71.3062336298539,72,-274.274160926086,181.240827592753,-0.652350633299915,0.999116055294932
"6","200598 - control",-102.416666666667,71.3062336298539,72,-330.174160926086,125.340827592753,-1.43629331480758,0.878899122158576
"7","200620 - control",22.2499999999996,71.3062336298539,72,-205.50749425942,250.007494259419,0.312034430474872,0.999996482396944
"8","200642 - control",-54.7833333333333,71.3062336298539,72,-282.540827592753,172.974160926086,-0.768282526569978,0.997210703823118
"9","200705 - control",-33.85,71.3062336298539,72,-261.607494259419,193.907494259419,-0.47471305490223,0.999914172665819
"10","200718 - control",52.6500000000003,71.3062336298539,72,-175.107494259419,280.40749425942,0.738364618629321,0.997881186376299
"11","200722 - control",-93.4833333333334,71.3062336298539,72,-321.240827592753,134.274160926086,-1.31101207530606,0.923737637108587
"12","200828 - control",-23.8166666666665,71.3062336298539,72,-251.574160926086,203.940827592753,-0.334005394118799,0.999994061112728
"13","200847 - control",64.9833333333348,71.3062336298538,72,-162.774160926084,292.740827592754,0.911327523911293,0.991232491717273
"14","200882 - control",-98.3500000000012,80.8536690485415,72,-356.602723874991,159.902723874989,-1.21639501530791,0.949229809519527
"15","200904 - control",2.41666666666693,71.3062336298538,72,-225.340827592752,230.174160926086,0.0338913800890353,1
"16","200920 - control",27.5499999999998,71.3062336298538,72,-200.207494259419,255.307494259419,0.386361733014958,0.999981899255407
"17","200991 - control",-36.5166666666667,71.3062336298539,72,-264.274160926086,191.240827592753,-0.512110439828058,0.999848920513974
"18","201019 - control",54.0833333333334,71.3062336298539,72,-173.674160926086,281.840827592753,0.75846571302695,0.997447457086454
"19","201097 - control",-65.183333333333,71.3062336298539,72,-292.940827592752,162.574160926086,-0.914132327780704,0.99105540335667
"20","201150 - control",151.150000000001,71.3062336298539,72,-76.6074942594189,378.90749425942,2.1197305243271,0.469978419146756
"21","201151 - control",-84.0166666666665,71.3062336298539,72,-311.774160926086,143.740827592753,-1.17825135881937,0.957589182174095
"22","201184 - control",-14.4166666666668,71.3062336298538,72,-242.174160926086,213.340827592752,-0.202179612255259,0.99999987904863
"23","201263 - control",11.6833333333331,71.3062336298538,72,-216.074160926086,239.440827592752,0.163847292706281,0.999999976640439
"24","201290 - control",-48.8500000000001,71.3062336298539,72,-276.607494259419,178.907494259419,-0.685073345110012,0.998747732992991
"25","201814 - control",248.283333333334,71.3062336298538,72,20.5258390739145,476.040827592753,3.48193027025038,0.0223311820790963
"26","201819 - control",-21.5833333333334,71.3062336298539,72,-249.340827592753,206.174160926086,-0.302685084243421,0.999997218184884
"27","201827 - control",44.85,71.3062336298539,72,-182.907494259419,272.607494259419,0.628977267721269,0.999319703912618
"28","201832 - control",-14.3500000000001,71.3062336298539,72,-242.107494259419,213.407494259419,-0.201244677632113,0.999999883348243
"29","201833 - control",-98.0166666666668,71.3062336298539,72,-325.774160926086,129.740827592753,-1.37458762967997,0.902591442916175
"30","201850 - control",-49.2166666666668,71.3062336298539,72,-276.974160926086,178.540827592753,-0.690215485537315,0.998679700601202
"31","201853 - control",-34.0166666666667,71.3062336298539,72,-261.774160926086,193.740827592753,-0.477050391460094,0.999910958274355
"32","201865 - control",136.449999999999,71.3062336298538,72,-91.3074942594197,364.207494259418,1.91357743992346,0.608173270809522
"33","201872 - control",12.1499999999999,71.3062336298539,72,-215.607494259419,239.907494259419,0.170391835068303,0.999999968254677
"34","201900 - control",397.049999999999,71.3062336298538,72,169.29250574058,624.807494259418,5.56823688179999,1.40151279606204e-05
"35","201939 - control",-35.2500000000001,71.3062336298539,72,-263.007494259419,192.507494259419,-0.49434668198829,0.999883819980289
