"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200436 - control",-47.5,16.2492250527468,48,-98.2998804501409,3.29988045014091,-2.92321632852088,0.081946297409166
"2","200499 - control",-17.7666666666667,16.2492250527468,48,-68.5665471168076,33.0332137834742,-1.0933854758608,0.943700451327602
"3","200544 - control",-33.0666666666667,16.2492250527468,48,-83.8665471168076,17.7332137834742,-2.03496884062646,0.446422347745798
"4","200647 - control",-36.2666666666667,16.2492250527468,48,-87.0665471168076,14.5332137834742,-2.23190130907419,0.330847942563885
"5","200649 - control",-16.4666666666667,16.2492250527468,48,-67.2665471168076,34.3332137834742,-1.01338166055391,0.961265519979147
"6","200650 - control",-46.5333333333333,16.2492250527468,48,-97.3332137834743,4.26654711680759,-2.86372631201063,0.0941042877520347
"7","200776 - control",-6.00000000000006,16.2492250527468,48,-56.799880450141,44.7998804501409,-0.369248378339483,0.999889587358427
"8","200801 - control",-7.00000000000001,16.2492250527468,48,-57.7998804501409,43.7998804501409,-0.430789774729394,0.999712707488138
"9","200820 - control",-24.2333333333333,16.2492250527468,48,-75.0332137834742,26.5665471168076,-1.49135317251556,0.785255302214085
"10","200879 - control",-29.4333333333333,16.2492250527468,48,-80.2332137834742,21.3665471168076,-1.81136843374311,0.590348973670601
"11","200886 - control",-27.9333333333333,16.2492250527468,48,-78.7332137834743,22.8665471168076,-1.71905633915824,0.649855961778148
"12","200887 - control",-40.8,16.2492250527468,48,-91.5998804501409,9.99988045014094,-2.51088897270846,0.199925893995676
"13","200903 - control",-48.9,16.2492250527468,48,-99.6998804501409,1.89988045014093,-3.00937428346676,0.0667171619195703
"14","200989 - control",-46.2333333333333,16.2492250527468,48,-97.0332137834742,4.56654711680758,-2.84526389309366,0.0981714605201369
"15","201010 - control",-33.6666666666667,16.2492250527468,48,-84.4665471168076,17.1332137834743,-2.07189367846041,0.423614012302712
"16","201013 - control",-35.2333333333333,16.2492250527468,48,-86.0332137834743,15.5665471168076,-2.16830853280461,0.366393466171483
"17","201020 - control",-45.0333333333333,22.9798744476472,48,-116.875213232854,26.8085465661878,-1.95968578661856,0.494085280202105
"18","201036 - control",-35.7,16.2492250527468,48,-86.4998804501409,15.0998804501409,-2.1970278511199,0.350105739043419
"19","201059 - control",-39.8333333333333,16.2492250527468,48,-90.6332137834742,10.9665471168076,-2.45139895619821,0.22423099734764
"20","201257 - control",-24.0666666666666,16.2492250527468,48,-74.8665471168076,26.7332137834743,-1.48109627311724,0.790753117329435
"21","201444 - control",-29.9,16.2492250527468,48,-80.6998804501409,20.8998804501409,-1.8400877520584,0.571649261497587
"22","201445 - control",-29.6666666666666,16.2492250527468,48,-80.4665471168076,21.1332137834743,-1.82572809290076,0.581003572064875
"23","201615 - control",-23.7,16.2492250527468,48,-74.4998804501409,27.099880450141,-1.45853109444094,0.802620251524655
"24","201949 - control",-45.3333333333333,16.2492250527468,48,-96.1332137834742,5.4665471168076,-2.78987663634273,0.111256797258643
