"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200272 - control",-4.03333333333332,0.93451479455093,72,-7.02609331234257,-1.04057335432407,-4.31596520124809,0.00157067763412433
"2","200281 - control",-4.01666666666666,1.04481930329756,72,-7.36267404336942,-0.670659289963909,-3.84436490978835,0.0075597790521067
"3","200434 - control",-2.96666666666667,0.93451479455093,72,-5.95942664567591,0.0260933123425806,-3.1745529166205,0.0538598495564077
"4","200442 - control",-3.93333333333333,0.934514794550931,72,-6.92609331234258,-0.940573354324081,-4.20895779956426,0.0022695865669653
"5","200497 - control",-3.46666666666666,1.04481930329757,72,-6.81267404336942,-0.120659289963903,-3.31795809641484,0.0364855824645214
"6","200520 - control",-3.43333333333333,0.93451479455093,72,-6.42609331234258,-0.440573354324085,-3.67392079114508,0.0128769085854059
"7","200521 - control",-4.9,0.93451479455093,72,-7.89275997900925,-1.90724002099075,-5.24336268250802,5.1505919512751e-05
"8","200557 - control",-4.26666666666666,0.93451479455093,72,-7.25942664567591,-1.27390668765742,-4.56564913851039,0.000649962293900574
"9","200574 - control",-5.43333333333333,0.93451479455093,72,-8.42609331234258,-2.44057335432408,-5.81406882482182,5.38376528846918e-06
"10","200641 - control",-3.86666666666666,0.934514794550931,72,-6.85942664567591,-0.873906687657414,-4.13761953177503,0.00289041715565497
"11","200656 - control",-3.56666666666667,0.93451479455093,72,-6.55942664567592,-0.573906687657422,-3.81659732672353,0.00825640985791376
"12","200798 - control",-5.03333333333333,0.934514794550931,72,-8.02609331234258,-2.04057335432408,-5.38603921808647,2.95531337983768e-05
"13","200815 - control",-5.93333333333332,0.934514794550929,72,-8.92609331234257,-2.94057335432408,-6.349105833241,6.02197146926109e-07
"14","200818 - control",-3.6,0.93451479455093,72,-6.59275997900925,-0.60724002099075,-3.85226646061814,0.00737180850316121
"15","200855 - control",-3.93333333333333,0.93451479455093,72,-6.92609331234258,-0.940573354324085,-4.20895779956426,0.00226958656696541
"16","200909 - control",-5.03333333333333,0.93451479455093,72,-8.02609331234258,-2.04057335432408,-5.38603921808647,2.95531337983768e-05
"17","200912 - control",-4.5,0.93451479455093,72,-7.49275997900925,-1.50724002099075,-4.81533307577267,0.000261068470386649
"18","200945 - control",-3.56666666666667,0.93451479455093,72,-6.55942664567591,-0.573906687657418,-3.81659732672353,0.00825640985791387
"19","201008 - control",-3.4,0.93451479455093,72,-6.39275997900925,-0.40724002099075,-3.63825165725046,0.0143572529502584
"20","201021 - control",-4.53333333333333,0.93451479455093,72,-7.52609331234258,-1.54057335432409,-4.85100220966729,0.00022866411947986
"21","201071 - control",-4.13333333333333,0.93451479455093,72,-7.12609331234258,-1.14057335432408,-4.42297260293194,0.00108030466777176
"22","201081 - control",-4.26666666666666,0.93451479455093,72,-7.25942664567591,-1.27390668765742,-4.56564913851039,0.000649962293900685
"23","201441 - control",-3.23333333333333,0.93451479455093,72,-6.22609331234258,-0.240573354324083,-3.4599059877774,0.0243808669019066
"24","201450 - control",-3.43333333333333,0.93451479455093,72,-6.42609331234258,-0.440573354324084,-3.67392079114508,0.0128769085854059
"25","201614 - control",-5.06666666666667,0.93451479455093,72,-8.05942664567591,-2.07390668765742,-5.42170835198108,2.56950702282044e-05
"26","201648 - control",-3.86666666666666,0.93451479455093,72,-6.85942664567591,-0.873906687657417,-4.13761953177504,0.00289041715565486
"27","201649 - control",-4.73333333333333,0.93451479455093,72,-7.72609331234258,-1.74057335432408,-5.06501701303496,0.000102140525549466
"28","201721 - control",-5.16666666666666,0.93451479455093,72,-8.15942664567591,-2.17390668765742,-5.52871575366492,1.68494438252953e-05
"29","201726 - control",-4.76666666666666,0.93451479455093,72,-7.75942664567591,-1.77390668765742,-5.10068614692957,8.91507147325887e-05
"30","201811 - control",-4.73333333333334,0.934514794550931,72,-7.72609331234258,-1.74057335432409,-5.06501701303496,0.000102140525549688
"31","201828 - control",-5.1,0.93451479455093,72,-8.09275997900924,-2.10724002099075,-5.4573774858757,2.23319531743593e-05
"32","201839 - control",-5.1,0.93451479455093,72,-8.09275997900924,-2.10724002099075,-5.4573774858757,2.23319531743593e-05
"33","201903 - control",-2.86666666666666,0.93451479455093,72,-5.85942664567591,0.126093312342583,-3.06754551493666,0.0711361346789156
"34","201937 - control",-5.43333333333333,0.93451479455093,72,-8.42609331234258,-2.44057335432408,-5.81406882482182,5.38376528846918e-06
"35","201975 - control",-4.96666666666667,0.93451479455093,72,-7.95942664567591,-1.97390668765742,-5.31470095029725,3.90471606145359e-05
"36","202005 - control",-5.03333333333333,0.93451479455093,72,-8.02609331234258,-2.04057335432408,-5.38603921808647,2.95531337983768e-05
