"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","200268 - control",3.86666666666662,6.0535508016613,71,-15.5281287819604,23.2614621152937,0.638743572715286,0.999320044286961
"2","200294 - control",-7.06666666666669,6.0535508016613,71,-26.4614621152937,12.3281287819603,-1.1673589432383,0.961807394475662
"3","200311 - control",-2.79999999999999,6.05355080166129,71,-22.194795448627,16.594795448627,-0.462538449207626,0.999939018434267
"4","200319 - control",-1.89999999999998,6.05355080166129,71,-21.294795448627,17.494795448627,-0.31386537624803,0.999996960998163
"5","200458 - control",-4.49999999999999,6.0535508016613,71,-23.894795448627,14.894795448627,-0.743365364797969,0.997981053778032
"6","200471 - control",4.86666666666667,6.0535508016613,71,-14.5281287819604,24.2614621152937,0.803935876003731,0.996513085619138
"7","200527 - control",-4.49999999999996,6.05355080166129,71,-23.894795448627,14.894795448627,-0.743365364797966,0.997981053778032
"8","200545 - control",4.53333333333333,6.0535508016613,71,-14.8614621152937,23.9281287819604,0.748871774907585,0.997873334438733
"9","200553 - control",1.83333333333335,6.05355080166129,71,-17.5614621152937,21.2281287819604,0.302852556028806,0.999997702352964
"10","200561 - control",7.53333333333333,6.0535508016613,71,-11.8614621152937,26.9281287819604,1.2444486847729,0.944992690329555
"11","200577 - control",1.15463194561016e-14,6.0535508016613,71,-19.394795448627,19.394795448627,1.90736310545753e-15,1
"12","200587 - control",6.6,6.0535508016613,71,-12.794795448627,25.994795448627,1.09026920170369,0.974572677834097
"13","200589 - control",-3.86666666666665,6.05355080166129,71,-23.2614621152937,15.5281287819604,-0.638743572715291,0.999320044286961
"14","200660 - control",-1.73333333333331,6.05355080166129,71,-21.1281287819603,17.6614621152937,-0.286333325699956,0.999998520180758
"15","200663 - control",-1.10000000000001,6.0535508016613,71,-20.494795448627,18.294795448627,-0.181711533617283,0.999999959311961
"16","200738 - control",11.6,6.0535508016613,71,-7.79479544862704,30.994795448627,1.91623071814588,0.612989850178822
"17","200775 - control",-7.23333333333333,6.0535508016613,71,-26.6281287819604,12.1614621152937,-1.19489099378637,0.956293459531852
"18","200800 - control",5.4666666666667,6.0535508016613,71,-13.9281287819603,24.8614621152937,0.903051257976799,0.99233942211902
"19","200814 - control",9.63333333333332,6.0535508016613,71,-9.76146211529371,29.0281287819604,1.59135252167862,0.811310005256735
"20","200874 - control",2.73333333333334,6.0535508016613,71,-16.6614621152937,22.1281287819604,0.451525628988398,0.999949258957318
"21","200910 - control",2.68333333333333,6.7680755488815,71,-19.0007071830835,24.3673738497501,0.396469175610308,0.999981308675757
"22","200915 - control",-9.26666666666667,6.0535508016613,71,-28.6614621152937,10.1281287819604,-1.53078201047286,0.841545322303979
"23","200951 - control",-2.63333333333334,6.0535508016613,71,-22.0281287819604,16.7614621152937,-0.435006398659555,0.99996184750294
"24","200973 - control",-0.099999999999993,6.0535508016613,71,-19.494795448627,19.294795448627,-0.0165192303288426,1
"25","200984 - control",14.3,6.0535508016613,71,-5.09479544862704,33.694795448627,2.36224993702466,0.326554522153809
"26","201103 - control",-2.86666666666665,6.0535508016613,71,-22.2614621152937,16.5281287819604,-0.473551269426853,0.999927057958785
"27","201155 - control",3.43333333333335,6.76807554888151,71,-18.2507071830835,25.1173738497502,0.507283541464123,0.99987716545311
"28","201186 - control",5.06666666666667,6.0535508016613,71,-14.3281287819604,24.4614621152937,0.836974336661419,0.995404240126472
"29","201238 - control",5.6,6.0535508016613,71,-13.794795448627,24.994795448627,0.925076898415253,0.991018478878311
"30","201291 - control",-1.71666666666666,6.7680755488815,71,-23.4007071830834,19.9673738497501,-0.25364177073206,0.99999942996548
"31","201292 - control",-4.93333333333334,6.0535508016613,71,-24.3281287819604,14.4614621152937,-0.814948696222961,0.996170691314087
"32","201654 - control",8.6,6.0535508016613,71,-10.794795448627,27.994795448627,1.42065380828057,0.889222067237499
"33","201662 - control",2.93333333333333,6.0535508016613,71,-16.4614621152937,22.3281287819604,0.484564089646085,0.999913146309031
"34","201890 - control",-5.96666666666668,6.0535508016613,71,-25.3614621152937,13.4281287819604,-0.985647409621015,0.986449862272107
"35","201945 - control",3.16666666666667,6.05355080166129,71,-16.2281287819604,22.5614621152937,0.523108960413388,0.999845191880363
"36","202006 - control",-5.33333333333334,6.0535508016613,71,-24.7281287819604,14.0614621152937,-0.881025617538336,0.99350159265259
